,,,Redline Score,Redline Z Score,,,avgAccessToCareScore,avgBuiltEnvScore,avgMobidityScore,avgOverallEquityScore,avgsocioeconscore,,Standardized Scores (Z Scores) --> ,Z avgAccessToCareScore,Z avgBuiltEnvScore,Z avgMobidityScore,Z avgOverallEquityScore,Z avgsocioeconscore,,,
,,,4,1.777379395,,,4.5,3.5,4.5,4.5,5,,,0.986013297,0.385396744,1.570280548,1.510845881,1.304990203,,,
,,,4,1.777379395,,,5,2.5,3.5,4.19999981,5,,,1.355768284,-0.724545878,0.493516744,1.195233777,1.304990203,,,
,,,4,1.777379395,,,5,4.5,5,4.69999981,5,,,1.355768284,1.495339365,2.10866245,1.721253617,1.304990203,,,
,,,4,1.777379395,,,5,2.5,3,4.0999999,5,,,1.355768284,-0.724545878,-0.044865159,1.090029904,1.304990203,,,
,,,4,1.777379395,,,3.5,4.5,3,3.4000001,4,,,0.246503324,1.495339365,-0.044865159,0.353602339,0.619155936,,,0 = Average
,,,4,1.777379395,,,4.5,3,4,4.30000019,5,,,0.986013297,-0.169574567,1.031898646,1.300438145,1.304990203,,,
,,,3,0.863298563,,,4,4,2,3.0999999,2.5,,,0.616258311,0.940368054,-1.121628963,0.037990225,-0.409595465,,,
,,,3,0.863298563,,,3.5,2.5,1.5,2.4000001,2.5,,,0.246503324,-0.724545878,-1.660010865,-0.69843734,-0.409595465,,,
,,,3,0.863298563,,,3.5,2,3.5,3,4,,,0.246503324,-1.279517189,0.493516744,-0.067213638,0.619155936,,,
,,,3,0.863298563,,,5,2,4.5,4,4.5,,,1.355768284,-1.279517189,1.570280548,0.984826041,0.962073069,,,
,,,2,-0.050782268,,,2,1.5,2,1.70000005,2,,,-0.862761635,-1.834488499,-1.121628963,-1.434865168,-0.752512599,,,
,,,2,-0.050782268,,,5,2.5,3,3.9000001,5,,,1.355768284,-0.724545878,-0.044865159,0.879622179,1.304990203,,,
,,,2,-0.050782268,,,1.5,2,3.5,1.89999998,1.5,,,-1.232516621,-1.279517189,0.493516744,-1.224457306,-1.095429732,,,
,,,2,-0.050782268,,,4.5,2.5,3,3.5,4.5,,,0.986013297,-0.724545878,-0.044865159,0.458806202,0.962073069,,,
,,,2,-0.050782268,,,4,4,3,3.9000001,3.5,,,0.616258311,0.940368054,-0.044865159,0.879622179,0.276238802,,,
,,,2,-0.050782268,,,2,3,1.5,1.79999995,1.5,,,-0.862761635,-0.169574567,-1.660010865,-1.329661306,-1.095429732,,,
,,,2,-0.050782268,,,4,4,2,3.0999999,2.5,,,0.616258311,0.940368054,-1.121628963,0.037990225,-0.409595465,,,
,,,2,-0.050782268,,,4,4,3,3.5,3.5,,,0.616258311,0.940368054,-0.044865159,0.458806202,0.276238802,,,
,,,2,-0.050782268,,,3,4,2.5,3.0999999,3,,,-0.123251662,0.940368054,-0.583247061,0.037990225,-0.066678332,,,
,,,2,-0.050782268,,,4.5,3.5,2.5,3.5,4,,,0.986013297,0.385396744,-0.583247061,0.458806202,0.619155936,,,
,,,2,-0.050782268,,,3,2.5,4.5,3.5999999,4,,,-0.123251662,-0.724545878,1.570280548,0.564010064,0.619155936,,,
,,,2,-0.050782268,,,4.5,3.5,4.5,4.19999981,4.5,,,0.986013297,0.385396744,1.570280548,1.195233777,0.962073069,,,
,,,1,-0.9648631,,,3.5,4.5,3,4.19999981,5,,,0.246503324,1.495339365,-0.044865159,1.195233777,1.304990203,,,
,,,1,-0.9648631,,,2,2.5,3,2.29999995,1,,,-0.862761635,-0.724545878,-0.044865159,-0.803641466,-1.438346866,,,
,,,1,-0.9648631,,,4,3.5,3,4,4.5,,,0.616258311,0.385396744,-0.044865159,0.984826041,0.962073069,,,
,,,1,-0.9648631,,,1,2.5,2,1.60000002,1.5,,,-1.602271608,-0.724545878,-1.121628963,-1.540069168,-1.095429732,,,
,,,1,-0.9648631,,,1,2.5,1.5,1.60000002,1,,,-1.602271608,-0.724545878,-1.660010865,-1.540069168,-1.438346866,,,
,,,1,-0.9648631,,,1.5,3.5,3.5,2.4000001,2.5,,,-1.232516621,0.385396744,0.493516744,-0.69843734,-0.409595465,,,
,,,1,-0.9648631,,,1.5,3.5,3.5,2.4000001,2.5,,,-1.232516621,0.385396744,0.493516744,-0.69843734,-0.409595465,,,
,,,1,-0.9648631,,,1.5,1.5,3,1.60000002,1,,,-1.232516621,-1.834488499,-0.044865159,-1.540069168,-1.438346866,,,
,,,1,-0.9648631,,,2,5,3,3,2,,,-0.862761635,2.050310676,-0.044865159,-0.067213638,-0.752512599,,,
,,,1,-0.9648631,,,1,3,3,2.20000005,1,,,-1.602271608,-0.169574567,-0.044865159,-0.908845329,-1.438346866,,,
,,,1,-0.9648631,,,1.5,4,1.5,1.79999995,1,,,-1.232516621,0.940368054,-1.660010865,-1.329661306,-1.438346866,,,
,,,1,-0.9648631,,,2.5,3,4,2.9000001,3,,,-0.493006649,-0.169574567,1.031898646,-0.172417501,-0.066678332,,,
,,,1,-0.9648631,,,2.5,4,3.5,2.5,1.5,,,-0.493006649,0.940368054,0.493516744,-0.593233478,-1.095429732,,,
,,,1,-0.9648631,,,3,2.5,2.5,2.4000001,2,,,-0.123251662,-0.724545878,-0.583247061,-0.69843734,-0.752512599,,,
Mean ,,,2.055555556,,,,3.166666667,3.152777778,3.041666667,3.063888881,3.097222222,,,,,,,,,,
SD ,,,1.093995154,,,,1.352246808,0.900947473,0.928708781,0.95053449,1.458078209,,,,,,,,,,